epsilon,sample_index,delta_change_deg,J_change,unphysical
0.0001,43,-0.00016696324546572328,-3.7275330431497944e-07,True
0.0001,44,8.399582010909512e-05,-1.2520210021516043e-08,True
0.0001,45,0.0001568468567079151,8.049129695923696e-08,True
0.0001,46,-9.344028850932773e-05,-1.6016547346904553e-07,True
0.0001,47,-0.00040453448650623614,-2.465112824649035e-07,True
0.0001,48,0.00025058134373523444,3.646100149787279e-07,True
0.0001,49,0.0001331525963088609,3.4816990960098715e-07,True
0.0001,50,-0.00022311110300066161,-2.9864681077261535e-07,True
0.0001,51,-0.00022908891480710736,-2.7545185697294694e-07,True
0.0001,52,-0.00025863361858213807,-5.290115478312485e-07,True
0.0001,53,1.8477027701635507e-05,-3.062348520876945e-07,True
0.0001,54,-3.128600766189038e-05,-6.383615915039886e-08,True
0.0001,55,1.242138868207121e-05,1.334747142117676e-07,True
0.0001,56,0.00030031290964060986,2.926634903848563e-07,True
0.0001,57,-1.5695272910676294e-05,2.7450181206215007e-08,True
0.0001,58,9.412331763769544e-05,1.036481752508811e-07,True
0.0001,59,0.00012441500102156056,8.525934116349054e-08,True
0.0001,60,0.00011344381711353435,1.438637159227596e-07,True
0.0001,61,9.943459144423628e-05,6.85239124574577e-08,True
0.0001,62,-9.469734372302696e-05,-2.5848177476021916e-07,True
0.0001,63,2.8968054426314893e-05,-1.2689899938148064e-08,True
0.0001,64,-0.0001355996767706813,-1.9979527209404435e-07,True
0.0001,65,4.5811959811459246e-05,-1.1519329764196617e-07,True
0.0001,66,-5.5059973583126975e-05,-1.2627811901005925e-07,True
0.0001,67,-3.285568863731214e-05,-6.762101958240896e-09,True
0.0001,68,0.00020318514050998715,3.6193524280067613e-07,True
0.0001,69,-0.0002292355361177556,-4.208354876435866e-07,True
0.0001,70,-0.00010734170092163708,-1.3135300641967107e-07,True
0.0001,71,-0.0003152499963370303,-3.5533905319573567e-07,True
0.0001,72,3.502525082765828e-05,-5.01786712216179e-08,True
0.0001,73,-3.1674914357182615e-05,-2.941787345493718e-07,True
0.0001,74,-2.7786012175567976e-05,-1.57609397338776e-07,True
0.0001,75,3.2911486904652065e-06,-1.6676425616812818e-07,True
0.0001,76,-2.1844478791166466e-05,-3.0064390448003575e-07,True
0.0001,77,-0.0002411313568408957,-3.124028370923848e-07,True
0.0001,78,1.638038501283745e-06,-1.5000522409630568e-07,True
0.0001,79,0.00012639507249900817,1.3476256702400768e-07,True
0.0001,80,-0.00028778054712930157,-2.2028421834720258e-07,True
0.0001,81,-3.300668038264121e-05,-7.405150357839285e-08,True
0.0001,82,0.00011258482114229196,1.8657758686993486e-07,True
0.0001,83,4.26593633555683e-05,1.9240812980728106e-07,True
0.0001,84,0.0001959837728087166,1.8097072279274484e-07,True
0.0001,85,0.00023656316189146764,-4.197925719193196e-08,True
0.0001,86,3.423234673505249e-06,1.948650113874073e-07,True
0.0001,87,0.00019381418048425303,6.449028861453543e-08,True
0.0001,88,0.00032905463259425005,2.186911848868489e-07,True
0.0001,89,-0.0003421738753885961,-3.160263802454155e-07,True
0.0001,90,-5.756091745467984e-05,7.158924111502762e-08,True
0.0001,91,-0.0003393951193118028,-4.778198246738891e-07,True
0.0001,92,0.00024985867672100426,4.989306846905905e-07,True
0.0001,93,0.00010975948882574471,7.60068699732358e-08,True
0.0001,94,-2.886823225978219e-05,-1.8744442267619454e-07,True
