epsilon,mean_delta_change_deg,std_delta_change_deg,mean_J_change,std_J_change,unphysical_count
0.0001,3.216145763218492e-07,0.0001629729079008917,4.058141685305341e-09,2.326377469779112e-07,200
0.0005,4.49507686390227e-05,0.0008758289064117348,5.980194139340069e-08,1.13704274461651e-06,200
0.001,-8.016687229497776e-05,0.0015799739960482815,-3.325490477556342e-08,2.430335629677537e-06,200
0.005,0.00048027644920907165,0.00795821778907613,5.268876713940361e-07,1.2205631525958661e-05,200
0.01,-0.0010770571190138688,0.016019213527380064,-1.8329522978912262e-06,2.34750601828383e-05,200
